Aluno,Lab,PP_Delete,Duracao,PP_Paste,Qntd_Linhas,Linhas_Log,Qntd_Linhas_Filtrado,Nota,Submissoes,Testes
2184,1223,0.69,780907,0.0,12,563,11,0.0,9,25
2184,1236,0.51,250880,0.47000000000000003,215,477,168,0.0,19,56
2184,1237,0.41,157954,0.88,112,310,108,0.0,16,27
2184,1261,1.91,2267296,0.34,284,5044,164,0.0,55,150
2184,1279,0.21,14014,0.060000000000000005,54,634,45,0.0,7,35
2184,1298,0.14,2251,0.2,31,79,31,0.0,2,6
2195,1021,3.02,2600140,0.0,51,3270,31,0.0,23,136
2195,1039,3.3200000000000003,3590317,0.0,155,9364,73,0.0,55,301
2195,1069,0.4,2056747,0.0,14,1761,11,0.0,1,55
2195,1070,1.6400000000000001,764479,0.5800000000000001,104,2835,75,0.0,16,112
2195,1079,2.74,1905343,0.04,127,4287,77,0.0,36,178
2195,1080,0.51,963,0.52,60,593,47,0.0,9,35
2195,1111,0.72,4126,0.0,38,1893,31,0.0,20,104
2195,1131,1.26,1349075,0.0,117,10829,91,0.0,56,298
2195,1154,0.46,5659,0.0,23,4249,20,0.0,7,68
2195,1165,1.21,963352,0.0,65,2345,34,0.0,1,186
2195,1201,2.9899999999999998,1360319,0.19000000000000003,174,4783,142,0.0,31,158
2195,1238,1.02,860519,0.45,137,1129,95,0.0,19,93
2198,1043,0.7300000000000001,3543,0.03,29,1820,24,0.0,7,66
2198,1083,0.48000000000000004,1049,0.0,38,938,24,0.0,6,28
2198,1118,0.6100000000000001,4525,0.02,71,2537,49,0.0,8,41
2198,1162,1.32,3092,0.03,68,1214,40,0.0,5,35
2198,1198,1.4000000000000001,509138,0.01,186,5333,162,0.0,13,102
2198,1244,1.8800000000000001,13529,0.03,166,5738,139,0.0,14,107
2198,1265,0.82,10487,0.21000000000000002,136,2301,118,0.0,13,63
