Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Corretos,Incorretos,Branco,Nota
2404,695,385.7,14.1,10.2,3.0,2.2,0.11500000000000002,0.034,28.7,10,0,0,10.0
2404,696,200.0,10.4,9.4,2.8,1.8,0.184,0.102,23.6,5,0,0,10.0
2404,715,4042.0,10.0,8.0,24.0,1.5,0.005,0.29500000000000004,1547.0,0,1,2,0.0
2404,734,137.75,18.125,15.5,3.625,2.375,0.14875,0.03,21.25,8,0,2,8.0
2405,413,163211.2142857143,4.0,3.2857142857142856,5.214285714285714,1.2142857142857142,0.005,0.2457142857142857,218.28571428571428,14,0,0,10.0
2405,436,37139.41666666666,12.75,6.333333333333332,5.916666666666668,3.5,0.0025,0.2958333333333333,354.91666666666674,12,0,0,10.0
2405,457,899.0,6.4,5.2,8.0,0.8,0.004,0.298,423.4,4,0,3,5.71429
2405,475,2855.0,5.5,4.5,23.5,0.0,0.005,0.425,939.5,0,0,2,0.0
2405,503,498939.66666666674,13.555555555555555,8.444444444444445,20.11111111111111,3.2222222222222223,0.0011111111111111113,0.35,1024.888888888889,9,0,0,10.0
2405,504,115381.66666666669,13.833333333333336,11.833333333333336,17.5,3.0,0.011666666666666664,0.245,690.3333333333335,6,0,0,10.0
2405,525,5413.0,16.0,10.0,51.5,2.0,0.0,0.485,2227.0,2,0,0,10.0
2405,552,45733.0,10.5,10.0,5.5,0.0,0.0,0.17,637.5,0,0,6,0.0
2405,553,268079.33333333326,29.88888888888889,26.33333333333333,18.777777777777782,2.0,0.0022222222222222227,0.2877777777777777,1109.111111111111,9,0,0,10.0
2405,577,1977.0,18.5,14.5,21.5,4.5,0.0,0.26,973.5,2,0,0,10.0
2405,593,218582.91666666663,14.083333333333336,11.666666666666664,9.75,1.6666666666666667,0.010833333333333334,0.2058333333333333,336.8333333333333,12,0,0,10.0
2405,594,69.0,9.857142857142858,8.714285714285714,2.2857142857142856,1.0,0.025714285714285717,0.10714285714285714,53.714285714285715,5,0,3,6.25
2405,623,3392.0,14.666666666666664,9.0,47.33333333333334,1.0,0.0,0.3,835.6666666666665,3,0,0,10.0
2405,635,97995.72727272726,15.090909090909092,13.363636363636365,12.181818181818182,1.4545454545454546,0.0,0.1754545454545455,713.4545454545455,11,0,0,9.7
2405,653,30.2,19.2,17.6,3.2,1.0,0.18000000000000002,0.0,10.0,5,0,0,10.0
2405,669,3814.0,23.0,16.666666666666668,24.33333333333333,1.6666666666666667,0.0,0.29000000000000004,1411.333333333333,2,1,0,6.66667
2405,695,482883.4,11.4,10.8,15.9,2.3,0.023,0.172,222.2,10,0,0,10.0
2405,696,317482.8,12.2,11.4,10.8,1.8,0.022000000000000002,0.174,172.2,5,0,0,10.0
2405,715,5222.666666666667,19.0,15.0,20.33333333333333,1.0,0.0033333333333333327,0.3033333333333333,1229.0,3,0,0,10.0
2405,734,35998.8,16.2,12.4,8.6,2.0,0.002,0.222,406.4,5,0,5,5.0
2405,757,3933.666666666666,14.0,9.333333333333334,29.66666666666667,3.333333333333333,0.0,0.22333333333333336,984.6666666666665,1,1,1,3.33333
2406,413,711053.4285714284,2.5,2.071428571428572,3.5,0.7857142857142857,0.005,0.21857142857142856,115.64285714285714,10,0,4,7.14286
2406,436,294.0,17.0,6.0,1.0,0.0,0.0,0.09,85.0,0,0,12,0.0
2406,475,1050.5,1.0,0.5,3.5,1.0,0.0,0.34,38.0,0,1,1,0.0
2406,503,495.0,13.0,6.0,2.0,0.0,0.0,0.35,79.0,0,0,9,0.0
2406,623,165.0,3.0,2.0,5.0,1.0,0.0,0.47,175.0,0,1,2,0.0
2407,413,96328.0,2.5,2.071428571428572,6.2142857142857135,1.5,0.004285714285714286,0.2121428571428572,148.28571428571428,14,0,0,10.0
2407,436,145399.83333333337,12.166666666666664,6.166666666666668,14.916666666666664,3.0,0.0033333333333333327,0.2583333333333333,699.4166666666665,12,0,0,10.0
2407,457,45283.571428571435,11.142857142857142,7.428571428571429,34.0,7.7142857142857135,0.0014285714285714286,0.22428571428571425,1078.142857142857,7,0,0,10.0
2407,475,1830.0,12.5,6.5,43.0,13.0,0.0,0.195,1168.0,2,0,0,10.0
2407,503,735938.2222222221,13.0,8.888888888888891,36.333333333333336,12.333333333333336,0.0011111111111111113,0.23444444444444446,1003.0,9,0,0,10.0
2407,504,493363.16666666674,15.0,11.0,50.5,9.0,0.0033333333333333327,0.25166666666666665,1842.333333333333,5,1,0,8.33333
2407,525,364622.5,15.0,9.5,37.0,7.0,0.0,0.26,1011.5,2,0,0,10.0
2407,552,326880.75,21.5,17.5,24.75,6.25,0.0,0.2225,2060.25,3,1,2,5.0
2407,553,562850.6666666665,19.444444444444443,16.333333333333332,63.22222222222222,13.666666666666664,0.005555555555555557,0.2555555555555556,2969.1111111111113,6,2,1,6.66667
2407,577,1066.0,13.5,12.5,26.5,6.5,0.005,0.175,1300.5,2,0,0,10.0
2407,593,217533.5833333333,13.75,10.166666666666666,37.91666666666666,3.083333333333333,0.0008333333333333334,0.2258333333333333,1005.0833333333335,12,0,0,10.0
2407,623,2988.0,13.666666666666664,10.0,73.33333333333333,5.333333333333333,0.0,0.18666666666666668,1260.6666666666667,3,0,0,10.0
2407,635,750828.9090909091,15.454545454545455,12.727272727272727,36.90909090909091,6.363636363636362,0.0018181818181818184,0.20909090909090908,1526.0,10,0,1,9.09091
2407,653,282595.8,14.4,10.2,27.0,2.8,0.004,0.214,1286.8,2,2,1,4.0
2407,669,345645.0,12.333333333333336,8.333333333333334,10.0,2.0,0.0,0.16666666666666666,608.6666666666666,3,0,0,10.0
2407,695,259133.9,13.1,10.3,15.6,2.1,0.021,0.204,945.9,10,0,0,10.0
2407,696,386.33333333333326,12.333333333333336,9.666666666666666,7.0,1.3333333333333333,0.0033333333333333327,0.2433333333333333,657.6666666666666,1,1,3,2.0
2407,715,3889.0,18.33333333333333,15.666666666666664,35.333333333333336,2.6666666666666665,0.0,0.25,2072.0,3,0,0,10.0
2407,734,447046.0,25.0,17.0,17.5,3.5,0.0,0.24,1123.5,2,0,8,2.0
2407,757,6074.0,12.333333333333336,8.0,33.0,1.0,0.0,0.2433333333333333,3009.666666666666,0,1,2,0.0
2408,413,68553.0,2.5,2.071428571428572,4.357142857142857,1.6428571428571428,0.0007142857142857143,0.20714285714285716,117.5,14,0,0,10.0
2408,436,51082.83333333334,13.833333333333336,6.583333333333332,16.166666666666668,2.333333333333333,0.01,0.3125,610.4166666666666,12,0,0,10.0
2408,457,980.5,7.0,5.0,14.0,0.5,0.01,0.425,483.5,1,0,6,1.42857
2408,475,2609.5,9.0,7.0,13.0,0.5,0.005,0.395,1230.5,1,0,1,5.0
2408,503,802738.2222222221,15.444444444444445,8.888888888888891,21.33333333333333,2.7777777777777777,0.0011111111111111113,0.3111111111111111,699.8888888888888,9,0,0,10.0
2408,504,557.0,10.0,9.0,5.0,0.0,0.01,0.4,510.0,0,0,6,0.0
2408,525,5766.0,12.0,9.0,75.0,9.5,0.0,0.435,2082.5,2,0,0,10.0
2408,553,182436.11111111112,38.444444444444436,25.555555555555557,11.444444444444445,2.7777777777777777,0.06222222222222223,0.2711111111111111,485.66666666666674,8,0,1,8.88889
2408,577,2103.5,16.5,13.0,24.5,1.5,0.0,0.355,1974.0,0,1,1,0.0
2408,593,113846.16666666669,16.25,12.0,18.166666666666668,2.333333333333333,0.03416666666666667,0.19500000000000006,649.0,11,1,0,9.16667
2408,623,1764621.666666667,11.666666666666664,9.333333333333334,36.0,0.3333333333333333,0.006666666666666667,0.28,1355.0,1,0,2,3.33333
2408,635,1595.75,15.25,10.75,14.0,2.0,0.0125,0.2625,809.0,2,0,9,1.81818
2408,669,4480.666666666667,18.33333333333333,13.333333333333336,18.666666666666668,0.3333333333333333,0.0033333333333333327,0.30666666666666664,1221.3333333333333,1,0,2,3.33333
2408,695,582.0,15.166666666666664,10.666666666666666,9.833333333333334,1.5,0.06833333333333334,0.185,307.3333333333333,6,0,4,6.0
2408,696,84.0,4.0,4.0,3.0,1.0,0.0,0.06,133.0,1,0,4,2.0
2408,715,1621568.666666667,16.0,13.0,15.0,1.3333333333333333,0.0,0.26666666666666666,864.6666666666665,3,0,0,10.0
2408,734,1091.0,16.6,11.4,4.8,1.6,0.052000000000000005,0.128,233.0,4,0,6,4.0
2408,757,3580.0,16.0,10.0,17.666666666666668,2.0,0.0033333333333333327,0.2733333333333334,1375.333333333333,1,1,1,3.33333
2409,413,74184.07142857142,3.571428571428572,2.8571428571428568,4.142857142857143,1.3571428571428572,0.002857142857142857,0.2314285714285714,206.92857142857144,14,0,0,10.0
2409,436,37179.833333333336,14.25,6.416666666666668,7.833333333333332,1.5,0.0041666666666666675,0.2,419.83333333333326,12,0,0,10.0
2409,457,234.0,7.25,5.0,3.75,0.75,0.0025,0.0525,168.25,3,0,4,4.28571
2409,475,2225.5,9.5,5.5,13.5,0.5,0.005,0.385,721.0,1,0,1,5.0
2409,503,216943.77777777772,15.111111111111109,9.111111111111109,8.555555555555555,1.8888888888888888,0.0022222222222222227,0.27222222222222225,504.33333333333326,9,0,0,10.0
2409,504,36214.75,11.75,9.5,7.25,1.0,0.0,0.2225,362.5,1,1,4,1.66667
2409,525,5312.5,13.0,9.0,15.5,1.0,0.005,0.24,1207.0,2,0,0,10.0
2409,553,189315.5,23.125,14.875,19.75,4.0,0.018750000000000003,0.24625,915.375,7,0,2,7.77778
2409,577,2501.5,17.0,10.5,11.0,0.0,0.0,0.265,1143.0,0,0,2,0.0
2409,593,105536.66666666669,16.583333333333332,12.833333333333336,12.0,2.6666666666666665,0.0075,0.2516666666666667,321.5833333333333,11,1,0,9.16667
2409,635,644.5,8.5,6.5,0.0,0.0,0.0,0.335,479.5,0,0,11,0.0
2409,669,5954.0,13.0,8.5,26.5,3.5,0.0,0.27,1547.5,1,0,2,3.33333
2409,695,1801.5,24.5,11.5,15.0,1.5,0.01,0.125,1092.0,1,1,8,1.0
2409,715,858.3333333333335,4.0,2.333333333333333,0.3333333333333333,0.0,0.0,0.2533333333333333,247.66666666666663,0,0,3,0.0
2409,734,177850.0,16.0,11.571428571428573,11.0,2.4285714285714284,0.005714285714285714,0.16571428571428573,429.0,6,0,4,6.0
2409,757,4025.666666666666,17.333333333333332,9.333333333333334,18.0,4.0,0.0,0.20666666666666667,785.6666666666665,1,0,2,2.23333
2411,413,31158.571428571428,2.571428571428572,2.142857142857143,3.2857142857142856,1.2857142857142858,0.0,0.115,75.5,14,0,0,10.0
2411,436,50638.08333333334,10.5,6.166666666666668,7.583333333333332,1.6666666666666667,0.0008333333333333334,0.2358333333333333,475.83333333333326,12,0,0,10.0
2411,457,64950.857142857145,10.0,6.857142857142858,8.571428571428571,1.2857142857142858,0.005714285714285714,0.15857142857142856,385.8571428571428,7,0,0,10.0
2411,475,778.0,13.0,9.0,4.0,1.0,0.0,0.15000000000000002,395.0,2,0,0,10.0
2411,503,96321.66666666669,11.333333333333336,8.555555555555555,11.0,2.555555555555556,0.0033333333333333327,0.13444444444444445,541.2222222222222,9,0,0,10.0
2411,504,101274.16666666669,13.5,10.5,19.5,2.1666666666666665,0.006666666666666667,0.16499999999999998,718.6666666666665,6,0,0,10.0
2411,525,511.0,9.0,9.0,7.0,1.0,0.02,0.2,353.0,2,0,0,10.0
2411,553,3600.5,23.0,14.5,59.5,9.0,0.005,0.235,1505.0,1,1,7,1.11111
2411,577,1378.0,16.0,13.5,25.0,4.5,0.005,0.2,1185.0,1,0,1,5.0
2411,593,911.0,13.0,7.0,15.5,1.5,0.005,0.37,328.0,0,2,10,0.0
2411,623,2478.6666666666665,11.333333333333336,8.0,35.666666666666664,4.666666666666667,0.0,0.21666666666666667,691.6666666666665,3,0,0,10.0
2411,635,82.0,1.0,1.0,0.0,0.0,0.0,0.08,24.0,0,0,11,0.0
2411,669,1665.333333333333,11.0,8.666666666666666,15.0,1.0,0.006666666666666667,0.19333333333333336,686.6666666666666,1,1,1,3.33333
2411,734,239965.85714285716,15.142857142857142,12.571428571428573,38.42857142857143,4.285714285714286,0.0014285714285714286,0.1285714285714286,788.2857142857142,5,1,4,5.0
2411,752,471.0,6.0,4.0,0.0,0.0,0.0,0.14,365.0,0,0,3,0.0
2411,757,3647.333333333334,16.666666666666668,13.333333333333336,41.0,5.333333333333333,0.0,0.18333333333333326,1100.3333333333333,1,2,0,3.33333
2413,399,76050.5,2.571428571428572,2.071428571428572,4.857142857142857,2.642857142857143,0.005,0.16714285714285712,91.21428571428572,12,2,0,8.57143
2413,442,419.28571428571433,10.571428571428571,6.428571428571429,4.0,3.2857142857142856,0.0,0.09714285714285716,260.14285714285717,7,0,5,5.83333
2413,478,2396.0,6.5,5.5,4.0,0.5,0.0,0.19,305.0,1,0,1,5.0
2413,485,507.0,14.444444444444445,9.222222222222221,3.555555555555556,2.2222222222222223,0.04666666666666666,0.21444444444444444,118.0,9,0,0,10.0
2413,540,2599.5,9.0,7.0,10.0,1.5,0.0,0.255,562.0,1,1,0,5.0
2413,557,17316.777777777777,24.777777777777782,19.88888888888889,7.888888888888888,1.5555555555555556,0.09222222222222223,0.16444444444444445,220.66666666666663,9,0,0,10.0
2413,579,2323.0,13.0,11.5,7.5,0.0,0.0,0.21,728.5,0,0,2,0.0
2413,622,2243.0,10.0,9.0,7.5,1.0,0.0,0.185,407.5,1,0,1,5.0
2413,642,41.0,16.545454545454547,13.272727272727273,3.363636363636364,1.181818181818182,0.08363636363636362,0.10454545454545454,20.454545454545453,11,0,0,10.0
2413,674,1660.5,10.0,7.5,10.0,2.5,0.0,0.09,412.0,1,0,1,5.0
2413,701,167.2,11.0,10.8,6.4,1.5,0.081,0.036000000000000004,15.2,10,0,0,10.0
2413,719,2022.5,19.0,16.0,12.0,2.5,0.0,0.16499999999999998,623.0,2,0,0,10.0
2413,733,27.9,25.9,17.3,3.7,1.0,0.128,0.025,13.5,10,0,0,10.0
2413,761,2243.5,16.0,14.0,10.5,2.0,0.0,0.15000000000000002,604.0,2,0,0,10.0
2415,391,594.0,1.0,1.0,0.5,0.0,0.015,0.03,20.0,0,0,14,0.0
2416,408,24934.214285714286,3.4285714285714284,2.8571428571428568,8.071428571428571,2.642857142857143,0.0,0.1578571428571429,196.07142857142856,14,0,0,10.0
2416,439,298703.66666666674,12.0,6.083333333333332,10.083333333333334,2.333333333333333,0.0016666666666666668,0.2816666666666667,534.6666666666666,12,0,0,10.0
2416,441,388815.33333333326,8.333333333333334,6.0,63.33333333333334,5.333333333333333,0.0,0.31,2730.6666666666665,2,0,5,2.85714
2416,487,1471.5,5.5,5.5,26.0,12.0,0.005,0.29500000000000004,783.5,2,0,0,10.0
