Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
13835.916667,13,10.416667,25.166667,2.166667,0.004167,0.189167,561.916667,0
7575.75,10.125,9.375,16.625,1.5,0.005,0.14125,517.5,0
2130,9,6,23,1,0,0.19,1622,0
214100,19.833333,14.666667,19.666667,1.5,0.001667,0.196667,1656.833333,2.72727
2074,16.5,10.5,15.5,1,0.01,0.135,1434,0
1058.5,22.5,19.5,17,4,0,0.17,1146,0
2001.9,26.2,16.6,18.4,2.6,0.003,0.178,854.7,0
2075.5,15.5,13.5,14.5,3.5,0,0.14,986.5,0
565.615385,3.692308,3.230769,3.769231,1.153846,0.005385,0.144615,118.076923,8.57143
1550.666667,6,5.333333,13.333333,0.666667,0.003333,0.203333,529,3.33333
4033,13.444444,8.666667,26.888889,3.888889,0.007778,0.184444,716.777778,0
3398.666667,13,9.333333,45.333333,9,0.003333,0.286667,1251.333333,3.33333
18545,18.333333,10.333333,30.666667,0.666667,0.003333,0.303333,1219.333333,0
1383,9,8,2,0,0.01,0.19,392,0
25025.833333,9,7.5,21,2.166667,0.01,0.206667,446.833333,3.93636
11,1,1,0,0,0,0.09,23,0
2841,9,6.666667,21,2.333333,0.01,0.166667,622.666667,4.43333
439.5,12,8.25,8.875,2.375,0.0025,0.15875,332.5,8.88889
9627.571429,2.5,2.071429,4.714286,1.714286,0,0.167857,83.928571,0
58482,18.3,5.9,16.6,2.4,0.001,0.21,795.4,7.5
2858.5,14.5,7,18,1,0,0.185,1065,0
67745.555556,18.888889,8.777778,15.222222,1.555556,0,0.166667,793.222222,0
6088.333333,21,13.666667,23.333333,5.333333,0,0.19,1252.333333,3.33333
2700,14.5,10.5,17.5,0.5,0,0.255,1318,0
